27838
14
529874743
1747607891
 0 1 1 910 1753  8 (D 0,1,1) (S 56,33,34) (S 61,25,34) (S 42,42,43) (S 63,43,36) (S 72,27,19) (S 15,19,19) (D 0,1,1)
 0 1 2 1182 1578  5 (D 0,1,1) (S 20,7,7) (S 14,5,5) (S 67,5,4) (D 0,1,1)
 0 1 3 1174 1746  7 (D 0,1,1) (S 33,39,39) (S 3,40,40) (S 27,41,41) (S 65,41,33) (S 69,33,32) (D 0,1,1)
 0 1 4 1164 1953  6 (D 0,1,1) (S 13,43,43) (S 58,36,43) (S 45,43,42) (S 10,42,42) (D 0,1,1)
 0 1 5 1267 1796  7 (D 0,1,1) (S 51,6,16) (S 41,15,14) (S 7,15,15) (S 59,15,16) (S 17,16,16) (D 0,1,1)
 0 1 6 1172 1900  8 (D 0,1,1) (S 53,22,23) (S 46,33,24) (S 29,24,24) (S 43,24,33) (S 47,25,26) (S 60,19,18) (D 0,1,1)
 0 1 7 1434 1732  6 (D 0,1,1) (S 44,11,20) (S 8,20,20) (S 38,21,21) (S 68,29,28) (D 0,1,1)
 0 1 8 1433 1893  6 (D 0,1,1) (S 24,29,29) (S 66,29,30) (S 37,30,30) (S 54,31,30) (D 0,1,1)
 0 1 9 1606 2177  7 (D 0,1,1) (S 9,27,27) (S 18,26,26) (S 62,26,18) (S 12,17,17) (S 5,9,9) (D 0,1,1)
 0 1 10 1588 1912  8 (D 0,1,1) (S 49,1,11) (S 57,20,28) (S 1,28,28) (S 6,11,11) (S 48,11,12) (S 36,2,2) (D 0,1,1)
 0 1 11 1488 2182  10 (D 0,1,1) (S 71,30,31) (S 19,31,31) (S 39,31,22) (S 35,22,22) (S 31,23,23) (S 70,41,40) (S 34,38,38) (S 55,37,28) (D 0,1,1)
 0 1 12 1774 2392  7 (D 0,1,1) (S 2,8,8) (S 64,8,10) (S 30,10,10) (S 4,36,36) (S 23,35,35) (D 0,1,1)
 0 1 13 1868 2432  6 (D 0,1,1) (S 16,32,32) (S 25,33,33) (S 21,25,25) (S 28,18,18) (D 0,1,1)
 0 1 14 1863 2392  10 (D 0,1,1) (S 50,5,6) (S 11,6,6) (S 52,6,5) (S 32,4,4) (S 26,13,13) (S 22,12,12) (S 40,12,2) (S 73,2,1) (D 0,1,1)
