1162
12
418909247
1747606714
 0 1 1 45 70  7 (D 0,1,1) (S 20,22,22) (S 73,22,13) (S 16,13,13) (S 100,13,8) (S 1,8,8) (D 0,1,1)
 0 1 2 47 67  6 (D 0,1,1) (S 28,17,17) (S 40,10,5) (S 71,5,6) (S 30,5,5) (D 0,1,1)
 0 1 3 35 84  7 (D 0,1,1) (S 46,26,34) (S 55,34,42) (S 86,35,43) (S 13,43,43) (S 101,43,35) (D 0,1,1)
 0 1 4 58 76  7 (D 0,1,1) (S 23,10,10) (S 12,12,12) (S 17,11,11) (S 66,11,6) (S 36,6,6) (D 0,1,1)
 0 1 5 45 78  12 (D 0,1,1) (S 54,1,15) (S 6,15,15) (S 88,15,16) (S 21,16,16) (S 102,16,15) (S 29,24,24) (S 81,23,29) (S 95,29,23) (S 94,23,24) (S 90,23,15) (D 0,1,1)
 0 1 6 46 87  13 (D 0,1,1) (S 45,13,21) (S 11,21,21) (S 57,21,20) (S 64,20,25) (S 27,25,25) (S 39,26,27) (S 89,27,35) (S 8,35,35) (S 83,36,38) (S 87,37,38) (S 92,37,29) (D 0,1,1)
 0 1 7 54 110  10 (D 0,1,1) (S 59,50,49) (S 31,49,49) (S 63,49,50) (S 65,49,48) (S 4,48,48) (S 24,45,45) (S 48,45,50) (S 9,46,46) (D 0,1,1)
 0 1 8 61 108  9 (D 0,1,1) (S 42,28,36) (S 35,36,36) (S 5,38,38) (S 76,47,40) (S 52,40,32) (S 3,32,32) (S 103,32,31) (D 0,1,1)
 0 1 9 61 94  14 (D 0,1,1) (S 96,1,16) (S 62,16,1) (S 98,1,9) (S 49,9,14) (S 14,9,9) (S 41,23,28) (S 85,28,27) (S 2,27,27) (S 38,28,28) (S 43,28,29) (S 25,29,29) (S 70,29,24) (D 0,1,1)
 0 1 10 69 124  12 (D 0,1,1) (S 80,18,19) (S 74,19,32) (S 10,31,31) (S 82,31,39) (S 58,30,39) (S 51,38,30) (S 22,30,30) (S 32,39,39) (S 93,39,47) (S 68,47,39) (D 0,1,1)
 0 1 11 64 137  15 (D 0,1,1) (S 79,43,48) (S 75,48,43) (S 56,43,42) (S 15,41,41) (S 53,41,33) (S 61,26,25) (S 72,25,33) (S 18,33,33) (S 67,33,34) (S 60,34,35) (S 99,46,45) (S 37,44,44) (S 77,44,37) (D 0,1,1)
 0 1 12 69 127  15 (D 0,1,1) (S 78,11,12) (S 33,7,7) (S 26,4,4) (S 7,2,2) (S 91,2,3) (S 19,3,3) (S 47,3,6) (S 69,10,17) (S 50,17,18) (S 44,17,24) (S 34,14,14) (S 84,14,22) (S 97,22,14) (D 0,1,1)
